packet,device,operation,datetime,unk1,F,clock,A,lat,N,lon,E,pitch,heading
31,imei:864895033864933,tracker,220322060347,,F,040347.00,A,4035.95504,N,02257.50600,E,,
32,imei:864895033864933,tracker,220322061347,,F,041347.00,A,4035.95504,N,02257.50600,E,,
33,imei:864895033864933,tracker,220322062347,,F,042347.00,A,4035.95504,N,02257.50600,E,,
34,imei:864895033864933,tracker,220322063347,,F,043347.00,A,4035.95504,N,02257.50600,E,,
35,imei:864895033864933,tracker,220322064347,,F,044347.00,A,4035.95504,N,02257.50600,E,,
36,imei:864895033864933,tracker,220322065347,,F,045347.00,A,4035.95504,N,02257.50600,E,,
37,imei:864895033864933,tracker,220322070347,,F,050347.00,A,4035.95504,N,02257.50600,E,,
38,imei:864895033864933,tracker,220322071347,,F,051347.00,A,4035.95504,N,02257.50600,E,,
39,imei:864895033864933,tracker,220322072347,,F,052347.00,A,4035.95504,N,02257.50600,E,,
40,imei:864895033864933,tracker,220322073347,,F,053347.00,A,4035.95504,N,02257.50600,E,,
41,imei:864895033864933,tracker,220322074347,,F,054347.00,A,4035.95504,N,02257.50600,E,,
42,imei:864895033864933,tracker,220322075347,,F,055347.00,A,4035.95504,N,02257.50600,E,,
43,imei:864895033864933,tracker,220322080347,,F,060347.00,A,4035.95504,N,02257.50600,E,,
44,imei:864895033864933,tracker,220322081347,,F,061347.00,A,4035.95504,N,02257.50600,E,,
45,imei:864895033864933,tracker,220322082347,,F,062347.00,A,4035.95504,N,02257.50600,E,,
46,imei:864895033864933,tracker,220322083347,,F,063347.00,A,4035.95504,N,02257.50600,E,,
47,imei:864895033864933,tracker,220322084347,,F,064347.00,A,4035.95504,N,02257.50600,E,,
48,imei:864895033864933,tracker,220322085347,,F,065347.00,A,4035.95504,N,02257.50600,E,,
49,imei:864895033864933,tracker,220322090347,,F,070347.00,A,4035.95504,N,02257.50600,E,,
50,imei:864895033864933,tracker,220322091347,,F,071347.00,A,4035.95504,N,02257.50600,E,,
51,imei:864895033864933,tracker,220322092347,,F,072347.00,A,4035.95504,N,02257.50600,E,,
52,imei:864895033864933,tracker,220322093347,,F,073347.00,A,4035.95504,N,02257.50600,E,,
53,imei:864895033864933,tracker,220322094347,,F,074347.00,A,4035.95504,N,02257.50600,E,,
54,imei:864895033864933,tracker,220322095347,,F,075347.00,A,4035.95504,N,02257.50600,E,,
55,imei:864895033864933,tracker,220322100347,,F,080347.00,A,4035.95504,N,02257.50600,E,,
56,imei:864895033864933,tracker,220322101347,,F,081347.00,A,4035.95504,N,02257.50600,E,,
57,imei:864895033864933,tracker,220322102347,,F,082347.00,A,4035.95504,N,02257.50600,E,,
58,imei:864895033864933,tracker,220322103347,,F,083347.00,A,4035.95504,N,02257.50600,E,,
59,imei:864895033864933,tracker,220322104347,,F,084347.00,A,4035.95504,N,02257.50600,E,,
60,imei:864895033864933,tracker,220322105347,,F,085347.00,A,4035.95504,N,02257.50600,E,,
61,imei:864895033864933,tracker,220322110347,,F,090347.00,A,4035.95504,N,02257.50600,E,,
62,imei:864895033864933,tracker,220322111347,,F,091347.00,A,4035.95504,N,02257.50600,E,,
63,imei:864895033864933,tracker,220322112347,,F,092347.00,A,4035.95504,N,02257.50600,E,,
64,imei:864895033864933,tracker,220322113347,,F,093347.00,A,4035.95504,N,02257.50600,E,,
65,imei:864895033864933,tracker,220322114347,,F,094347.00,A,4035.95504,N,02257.50600,E,,
66,imei:864895033864933,tracker,220322115347,,F,095347.00,A,4035.95504,N,02257.50600,E,,
67,imei:864895033864933,tracker,220322120347,,F,100347.00,A,4035.95504,N,02257.50600,E,,
68,imei:864895033864933,tracker,220322121347,,F,101347.00,A,4035.95504,N,02257.50600,E,,
69,imei:864895033864933,tracker,220322130141,,F,110141.00,A,4035.96000,N,02257.48853,E,,
70,imei:864895033864933,tracker,220322131141,,F,111141.00,A,4035.96000,N,02257.48853,E,,
71,imei:864895033864933,tracker,220322132141,,F,112141.00,A,4035.96000,N,02257.48853,E,,
72,imei:864895033864933,tracker,220322133141,,F,113141.00,A,4035.96000,N,02257.48853,E,,
73,imei:864895033864933,tracker,220322134141,,F,114141.00,A,4035.96000,N,02257.48853,E,,
74,imei:864895033864933,tracker,220322135141,,F,115141.00,A,4035.96000,N,02257.48853,E,,
75,imei:864895033864933,tracker,220322140141,,F,120141.00,A,4035.96000,N,02257.48853,E,,
76,imei:864895033864933,tracker,220322141141,,F,121141.00,A,4035.96000,N,02257.48853,E,,
77,imei:864895033864933,tracker,220322142141,,F,122141.00,A,4035.96000,N,02257.48853,E,,
78,imei:864895033864933,tracker,220322143141,,F,123141.00,A,4035.96000,N,02257.48853,E,,
79,imei:864895033864933,tracker,220322144141,,F,124141.00,A,4035.96000,N,02257.48853,E,,
80,imei:864895033864933,tracker,220322145141,,F,125141.00,A,4035.96000,N,02257.48853,E,,
81,imei:864895033864933,tracker,220322150141,,F,130141.00,A,4035.96000,N,02257.48853,E,,
82,imei:864895033864933,tracker,220322151141,,F,131141.00,A,4035.96000,N,02257.48853,E,,
83,imei:864895033864933,tracker,220322152141,,F,132141.00,A,4035.96000,N,02257.48853,E,,
84,imei:864895033864933,tracker,220322153141,,F,133141.00,A,4035.96000,N,02257.48853,E,,
85,imei:864895033864933,tracker,220322154141,,F,134141.00,A,4035.96000,N,02257.48853,E,,
86,imei:864895033864933,tracker,220322155141,,F,135141.00,A,4035.96000,N,02257.48853,E,,
87,imei:864895033864933,tracker,220322160141,,F,140141.00,A,4035.96000,N,02257.48853,E,,
88,imei:864895033864933,tracker,220322161141,,F,141141.00,A,4035.96000,N,02257.48853,E,,
89,imei:864895033864933,tracker,220322162141,,F,142141.00,A,4035.96000,N,02257.48853,E,,
90,imei:864895033864933,tracker,220322163141,,F,143141.00,A,4035.96000,N,02257.48853,E,,
91,imei:864895033864933,tracker,220322164141,,F,144141.00,A,4035.96000,N,02257.48853,E,,
92,imei:864895033864933,tracker,220322165141,,F,145141.00,A,4035.96000,N,02257.48853,E,,
93,imei:864895033864933,tracker,220322170141,,F,150141.00,A,4035.96000,N,02257.48853,E,,
94,imei:864895033864933,tracker,220322171141,,F,151141.00,A,4035.96000,N,02257.48853,E,,
95,imei:864895033864933,tracker,220322172141,,F,152141.00,A,4035.96000,N,02257.48853,E,,
96,imei:864895033864933,tracker,220322173141,,F,153141.00,A,4035.96000,N,02257.48853,E,,
97,imei:864895033864933,tracker,220322174141,,F,154141.00,A,4035.96000,N,02257.48853,E,,
98,imei:864895033864933,tracker,220322175141,,F,155141.00,A,4035.96000,N,02257.48853,E,,
99,imei:864895033864933,acc on,220322175612,,F,155612.00,A,4035.94984,N,02257.51842,E,0.081,0
100,imei:864895033864933,tracker,220322175625,,F,155625.00,A,4035.94894,N,02257.52024,E,0.119,0
101,imei:864895033864933,tracker,220322175640,,F,155640.00,A,4035.94742,N,02257.52167,E,0.197,0
102,imei:864895033864933,tracker,220322175655,,F,155655.00,A,4035.94503,N,02257.52428,E,0.063,0
103,imei:864895033864933,tracker,220322175710,,F,155710.00,A,4035.94453,N,02257.52521,E,0.026,0
104,imei:864895033864933,tracker,220322175719,,F,155719.00,A,4035.94267,N,02257.52393,E,3.191,191.58
105,imei:864895033864933,tracker,220322175725,,F,155725.00,A,4035.93457,N,02257.51840,E,5.325,211.25
106,imei:864895033864933,tracker,220322175728,,F,155728.00,A,4035.93049,N,02257.51677,E,4.913,184.46
107,imei:864895033864933,tracker,220322175731,,F,155731.00,A,4035.92573,N,02257.52024,E,8.685,141.40
108,imei:864895033864933,tracker,220322175735,,F,155735.00,A,4035.91887,N,02257.52727,E,6.564,133.46
109,imei:864895033864933,tracker,220322175737,,F,155737.00,A,4035.91889,N,02257.53224,E,8.132,91.44
110,imei:864895033864933,tracker,220322175740,,F,155740.00,A,4035.92133,N,02257.54266,E,10.456,75.85
111,imei:864895033864933,tracker,220322175755,,F,155755.00,A,4035.93051,N,02257.58440,E,0.072,0
112,imei:864895033864933,tracker,220322175810,,F,155810.00,A,4035.93044,N,02257.58497,E,0.049,0
113,imei:864895033864933,tracker,220322175825,,F,155825.00,A,4035.93008,N,02257.58573,E,0.561,0
114,imei:864895033864933,tracker,220322175830,,F,155830.00,A,4035.92837,N,02257.59468,E,6.744,137.01
115,imei:864895033864933,tracker,220322175840,,F,155840.00,A,4035.88477,N,02257.60818,E,18.396,167.95
116,imei:864895033864933,tracker,220322175855,,F,155855.00,A,4035.82932,N,02257.58794,E,4.196,224.41
117,imei:864895033864933,tracker,220322175910,,F,155910.00,A,4035.82893,N,02257.58773,E,0.049,0
118,imei:864895033864933,tracker,220322175925,,F,155925.00,A,4035.82890,N,02257.58783,E,0.017,0
119,imei:864895033864933,tracker,220322175940,,F,155940.00,A,4035.80763,N,02257.55986,E,17.513,224.65
120,imei:864895033864933,tracker,220322175955,,F,155955.00,A,4035.75446,N,02257.48417,E,20.848,229.17
121,imei:864895033864933,tracker,220322180010,,F,160010.00,A,4035.69568,N,02257.40372,E,16.875,224.49
122,imei:864895033864933,tracker,220322180013,,F,160013.00,A,4035.68902,N,02257.39110,E,12.142,253.61
123,imei:864895033864933,tracker,220322180025,,F,160025.00,A,4035.68940,N,02257.32544,E,18.686,264.86
124,imei:864895033864933,tracker,220322180040,,F,160040.00,A,4035.68429,N,02257.24367,E,4.756,265.23
125,imei:864895033864933,tracker,220322180055,,F,160055.00,A,4035.68284,N,02257.23347,E,0.015,0
126,imei:864895033864933,tracker,220322180110,,F,160110.00,A,4035.68187,N,02257.23145,E,0.263,0
127,imei:864895033864933,tracker,220322180113,,F,160113.00,A,4035.68033,N,02257.22978,E,5.340,214.66
128,imei:864895033864933,tracker,220322180125,,F,160125.00,A,4035.62808,N,02257.23440,E,21.075,174.83
129,imei:864895033864933,tracker,220322180140,,F,160140.00,A,4035.60969,N,02257.23716,E,0.017,0
130,imei:864895033864933,tracker,220322180155,,F,160155.00,A,4035.61012,N,02257.23768,E,0.044,0
131,imei:864895033864933,tracker,220322180210,,F,160210.00,A,4035.60119,N,02257.23968,E,11.127,170.37
132,imei:864895033864933,tracker,220322180225,,F,160225.00,A,4035.50463,N,02257.25739,E,25.012,173.30
133,imei:864895033864933,tracker,220322180240,,F,160240.00,A,4035.42082,N,02257.27049,E,16.527,172.90
134,imei:864895033864933,tracker,220322180256,,F,160256.00,A,4035.34329,N,02257.26815,E,9.637,187.74
135,imei:864895033864933,tracker,220322180311,,F,160311.00,A,4035.29091,N,02257.25698,E,8.628,190.74
136,imei:864895033864933,tracker,220322180326,,F,160326.00,A,4035.28052,N,02257.25530,E,6.691,185.22
137,imei:864895033864933,tracker,220322180341,,F,160341.00,A,4035.23508,N,02257.27586,E,9.474,136.02
138,imei:864895033864933,tracker,220322180356,,F,160356.00,A,4035.21442,N,02257.30141,E,1.601,136.24
139,imei:864895033864933,tracker,220322180411,,F,160411.00,A,4035.21499,N,02257.30193,E,0.028,0
140,imei:864895033864933,tracker,220322180426,,F,160426.00,A,4035.21524,N,02257.30203,E,0.103,0
141,imei:864895033864933,tracker,220322180441,,F,160441.00,A,4035.18208,N,02257.34337,E,16.565,136.59
142,imei:864895033864933,tracker,220322180456,,F,160456.00,A,4035.13789,N,02257.39797,E,14.825,137.81
143,imei:864895033864933,tracker,220322180511,,F,160511.00,A,4035.09028,N,02257.45564,E,16.249,136.95
144,imei:864895033864933,tracker,220322180526,,F,160526.00,A,4035.04035,N,02257.54807,E,23.875,98.64
145,imei:864895033864933,tracker,220322180541,,F,160541.00,A,4035.01054,N,02257.66922,E,27.585,117.81
146,imei:864895033864933,tracker,220322180547,,F,160547.00,A,4034.99178,N,02257.70708,E,12.035,151.78
147,imei:864895033864933,tracker,220322180549,,F,160549.00,A,4034.98596,N,02257.70642,E,10.846,198.08
148,imei:864895033864933,tracker,220322180556,,F,160556.00,A,4034.97113,N,02257.67812,E,14.826,240.85
149,imei:864895033864933,tracker,220322180611,,F,160611.00,A,4034.94190,N,02257.59913,E,16.926,247.77
150,imei:864895033864933,tracker,220322180626,,F,160626.00,A,4034.92002,N,02257.50233,E,18.521,247.54
151,imei:864895033864933,tracker,220322180639,,F,160639.00,A,4034.90323,N,02257.43175,E,9.513,218.35
152,imei:864895033864933,tracker,220322180641,,F,160641.00,A,4034.89799,N,02257.43253,E,10.858,168.33
153,imei:864895033864933,tracker,220322180656,,F,160656.00,A,4034.84730,N,02257.45348,E,5.725,163.06
154,imei:864895033864933,tracker,220322180711,,F,160711.00,A,4034.78395,N,02257.48163,E,18.408,162.93
155,imei:864895033864933,tracker,220322180726,,F,160726.00,A,4034.71151,N,02257.51058,E,13.757,163.05
156,imei:864895033864933,tracker,220322180741,,F,160741.00,A,4034.65237,N,02257.55464,E,19.908,138.92
157,imei:864895033864933,tracker,220322180756,,F,160756.00,A,4034.60291,N,02257.64087,E,26.742,118.05
158,imei:864895033864933,tracker,220322180811,,F,160811.00,A,4034.56682,N,02257.77795,E,21.383,107.27
159,imei:864895033864933,tracker,220322180826,,F,160826.00,A,4034.56080,N,02257.80155,E,0.021,0
160,imei:864895033864933,tracker,220322180841,,F,160841.00,A,4034.56057,N,02257.80149,E,0.023,0
161,imei:864895033864933,tracker,220322180851,,F,160851.00,A,4034.55555,N,02257.81158,E,7.735,145.34
162,imei:864895033864933,tracker,220322180856,,F,160856.00,A,4034.53414,N,02257.80296,E,19.819,199.52
163,imei:864895033864933,tracker,220322180911,,F,160911.00,A,4034.46260,N,02257.77150,E,7.271,202.74
164,imei:864895033864933,tracker,220322180926,,F,160926.00,A,4034.46093,N,02257.77040,E,0.031,0
165,imei:864895033864933,tracker,220322180941,,F,160941.00,A,4034.46073,N,02257.77030,E,0.015,0
166,imei:864895033864933,tracker,220322180956,,F,160956.00,A,4034.46053,N,02257.77000,E,0.034,0
167,imei:864895033864933,tracker,220322181011,,F,161011.00,A,4034.40534,N,02257.71145,E,29.602,223.41
168,imei:864895033864933,tracker,220322181026,,F,161026.00,A,4034.33382,N,02257.62440,E,4.919,221.32
169,imei:864895033864933,tracker,220322181041,,F,161041.00,A,4034.30629,N,02257.59404,E,16.007,223.11
170,imei:864895033864933,tracker,220322181056,,F,161056.00,A,4034.27204,N,02257.54092,E,0.131,0
171,imei:864895033864933,tracker,220322181111,,F,161111.00,A,4034.27307,N,02257.53760,E,1.370,244.48
172,imei:864895033864933,tracker,220322181116,,F,161116.00,A,4034.26912,N,02257.52573,E,7.905,272.73
173,imei:864895033864933,tracker,220322181118,,F,161118.00,A,4034.27223,N,02257.52046,E,9.413,309.08
174,imei:864895033864933,tracker,220322181126,,F,161126.00,A,4034.29710,N,02257.49488,E,16.682,320.33
175,imei:864895033864933,tracker,220322181139,,F,161139.00,A,4034.34100,N,02257.44401,E,6.050,274.03
176,imei:864895033864933,tracker,220322181141,,F,161141.00,A,4034.33951,N,02257.44090,E,4.627,239.23
177,imei:864895033864933,tracker,220322181156,,F,161156.00,A,4034.32260,N,02257.42460,E,0.111,0
178,imei:864895033864933,tracker,220322181158,,F,161158.00,A,4034.32068,N,02257.42398,E,5.867,190.34
179,imei:864895033864933,tracker,220322181211,,F,161211.00,A,4034.28716,N,02257.45262,E,13.533,146.96
180,imei:864895033864933,tracker,220322181222,,F,161222.00,A,4034.25286,N,02257.48182,E,8.278,182.59
181,imei:864895033864933,tracker,220322181224,,F,161224.00,A,4034.24948,N,02257.47820,E,9.496,222.22
182,imei:864895033864933,tracker,220322181226,,F,161226.00,A,4034.24578,N,02257.47152,E,12.935,233.18
183,imei:864895033864933,tracker,220322181241,,F,161241.00,A,4034.20591,N,02257.40609,E,18.743,235.01
184,imei:864895033864933,tracker,220322181246,,F,161246.00,A,4034.19524,N,02257.39063,E,8.047,195.81
185,imei:864895033864933,tracker,220322181256,,F,161256.00,A,4034.17838,N,02257.40234,E,0.758,0
186,imei:864895033864933,acc off,220322181305,,F,161305.00,A,4034.17825,N,02257.40281,E,0.088,0
187,imei:864895033864933,tracker,220322181311,,F,161311.00,A,4034.17829,N,02257.40342,E,0.849,0
188,imei:864895033864933,tracker,220322182311,,F,162311.00,A,4034.17191,N,02257.40606,E,,
189,imei:864895033864933,tracker,220322183311,,F,163311.00,A,4034.17009,N,02257.40912,E,,
190,imei:864895033864933,tracker,220322184311,,F,164311.00,A,4034.17009,N,02257.40912,E,,
191,imei:864895033864933,tracker,220322185311,,F,165311.00,A,4034.17009,N,02257.40912,E,,
192,imei:864895033864933,tracker,220322190311,,F,170311.00,A,4034.17009,N,02257.40912,E,,
193,imei:864895033864933,tracker,220322191311,,F,171311.00,A,4034.17009,N,02257.40912,E,,
194,imei:864895033864933,tracker,220322192311,,F,172311.00,A,4034.17009,N,02257.40912,E,,
195,imei:864895033864933,tracker,220322193311,,F,173311.00,A,4034.17009,N,02257.40912,E,,
196,imei:864895033864933,tracker,220322194311,,F,174311.00,A,4034.17009,N,02257.40912,E,,
197,imei:864895033864933,tracker,220322195311,,F,175311.00,A,4034.17009,N,02257.40912,E,,
198,imei:864895033864933,tracker,220322200311,,F,180311.00,A,4034.17275,N,02257.40290,E,0.019,0
199,imei:864895033864933,acc on,220322200502,,F,180502.00,A,4034.17358,N,02257.40348,E,0.365,0
200,imei:864895033864933,tracker,220322200515,,F,180515.00,A,4034.17355,N,02257.40245,E,0.040,0
201,imei:864895033864933,tracker,220322200530,,F,180530.00,A,4034.17292,N,02257.40214,E,0.107,0
202,imei:864895033864933,tracker,220322200545,,F,180545.00,A,4034.17186,N,02257.40236,E,0.197,0
203,imei:864895033864933,tracker,220322200600,,F,180600.00,A,4034.17108,N,02257.40467,E,0.086,0
204,imei:864895033864933,tracker,220322200615,,F,180615.00,A,4034.16943,N,02257.40711,E,0.365,0
205,imei:864895033864933,tracker,220322200630,,F,180630.00,A,4034.17120,N,02257.40546,E,2.762,178.47
206,imei:864895033864933,tracker,220322200631,,F,180631.00,A,4034.17063,N,02257.40606,E,3.226,155.89
207,imei:864895033864933,tracker,220322200645,,F,180645.00,A,4034.15116,N,02257.42640,E,4.116,146.89
208,imei:864895033864933,tracker,220322200646,,F,180646.00,A,4034.15018,N,02257.42626,E,4.157,165.95
209,imei:864895033864933,tracker,220322200700,,F,180700.00,A,4034.12354,N,02257.38800,E,8.084,253.58
210,imei:864895033864933,tracker,220322200701,,F,180701.00,A,4034.12436,N,02257.38455,E,8.280,279.97
211,imei:864895033864933,tracker,220322200703,,F,180703.00,A,4034.12856,N,02257.37856,E,10.770,317.01
212,imei:864895033864933,tracker,220322200715,,F,180715.00,A,4034.18515,N,02257.32838,E,21.277,331.80
213,imei:864895033864933,tracker,220322200730,,F,180730.00,A,4034.27113,N,02257.26186,E,23.278,327.71
214,imei:864895033864933,tracker,220322200745,,F,180745.00,A,4034.31888,N,02257.21023,E,0.165,0
215,imei:864895033864933,tracker,220322200800,,F,180800.00,A,4034.32033,N,02257.20923,E,0.634,0
216,imei:864895033864933,tracker,220322200815,,F,180815.00,A,4034.36044,N,02257.14434,E,23.016,309.13
217,imei:864895033864933,tracker,220322200830,,F,180830.00,A,4034.41321,N,02257.06315,E,15.273,310.29
218,imei:864895033864933,tracker,220322200845,,F,180845.00,A,4034.43148,N,02257.03598,E,9.810,314.76
219,imei:864895033864933,tracker,220322200900,,F,180900.00,A,4034.47383,N,02256.96571,E,15.938,308.70
220,imei:864895033864933,tracker,220322200915,,F,180915.00,A,4034.53427,N,02256.86486,E,23.150,307.93
221,imei:864895033864933,tracker,220322200930,,F,180930.00,A,4034.59286,N,02256.77089,E,20.624,308.62
222,imei:864895033864933,tracker,220322200945,,F,180945.00,A,4034.63472,N,02256.70445,E,14.849,309.32
223,imei:864895033864933,tracker,220322201000,,F,181000.00,A,4034.68563,N,02256.62062,E,22.431,308.43
224,imei:864895033864933,tracker,220322201015,,F,181015.00,A,4034.75397,N,02256.50313,E,27.805,299.29
225,imei:864895033864933,tracker,220322201030,,F,181030.00,A,4034.80070,N,02256.36740,E,28.533,296.25
226,imei:864895033864933,tracker,220322201045,,F,181045.00,A,4034.88384,N,02256.24633,E,29.969,332.33
227,imei:864895033864933,tracker,220322201055,,F,181055.00,A,4034.96627,N,02256.21894,E,30.729,1.63
228,imei:864895033864933,tracker,220322201100,,F,181100.00,A,4035.00680,N,02256.22706,E,30.723,8.52
229,imei:864895033864933,tracker,220322201115,,F,181115.00,A,4035.11500,N,02256.29387,E,29.630,54.94
230,imei:864895033864933,tracker,220322201130,,F,181130.00,A,4035.17428,N,02256.43042,E,28.862,67.65
231,imei:864895033864933,tracker,220322201145,,F,181145.00,A,4035.24521,N,02256.55050,E,25.239,47.78
232,imei:864895033864933,tracker,220322201150,,F,181150.00,A,4035.25968,N,02256.57547,E,11.911,75.71
233,imei:864895033864933,tracker,220322201152,,F,181152.00,A,4035.25672,N,02256.58357,E,13.609,124.68
234,imei:864895033864933,tracker,220322201200,,F,181200.00,A,4035.22747,N,02256.61837,E,11.522,135.24
235,imei:864895033864933,tracker,220322201215,,F,181215.00,A,4035.22570,N,02256.62228,E,0.023,0
236,imei:864895033864933,tracker,220322201230,,F,181230.00,A,4035.22514,N,02256.62418,E,0.019,0
237,imei:864895033864933,tracker,220322201245,,F,181245.00,A,4035.22234,N,02256.62919,E,9.308,135.09
238,imei:864895033864933,tracker,220322201246,,F,181246.00,A,4035.22105,N,02256.63200,E,9.219,119.17
239,imei:864895033864933,tracker,220322201248,,F,181248.00,A,4035.22166,N,02256.63856,E,12.831,67.60
240,imei:864895033864933,tracker,220322201300,,F,181300.00,A,4035.27519,N,02256.71292,E,24.913,47.22
241,imei:864895033864933,tracker,220322201315,,F,181315.00,A,4035.34762,N,02256.81178,E,25.257,44.55
242,imei:864895033864933,tracker,220322201330,,F,181330.00,A,4035.40168,N,02256.88438,E,8.159,46.34
243,imei:864895033864933,tracker,220322201345,,F,181345.00,A,4035.40285,N,02256.88798,E,0.057,0
244,imei:864895033864933,tracker,220322201400,,F,181400.00,A,4035.40913,N,02256.89682,E,10.374,46.98
245,imei:864895033864933,tracker,220322201415,,F,181415.00,A,4035.45521,N,02256.95994,E,18.497,46.27
246,imei:864895033864933,tracker,220322201430,,F,181430.00,A,4035.51185,N,02257.03932,E,20.213,46.41
247,imei:864895033864933,tracker,220322201445,,F,181445.00,A,4035.56619,N,02257.11538,E,16.716,47.28
248,imei:864895033864933,tracker,220322201449,,F,181449.00,A,4035.57722,N,02257.12727,E,7.915,21.29
249,imei:864895033864933,tracker,220322201455,,F,181455.00,A,4035.58730,N,02257.13154,E,9.151,35.41
250,imei:864895033864933,tracker,220322201458,,F,181458.00,A,4035.58979,N,02257.14128,E,11.165,80.56
251,imei:864895033864933,tracker,220322201500,,F,181500.00,A,4035.59072,N,02257.15274,E,18.839,85.99
252,imei:864895033864933,tracker,220322201515,,F,181515.00,A,4035.60039,N,02257.25413,E,17.277,82.86
253,imei:864895033864933,tracker,220322201527,,F,181527.00,A,4035.60875,N,02257.30563,E,7.963,16.04
254,imei:864895033864933,tracker,220322201530,,F,181530.00,A,4035.61839,N,02257.30562,E,11.409,1.88
255,imei:864895033864933,tracker,220322201530,,F,181530.00,A,4035.61839,N,02257.30562,E,11.409,1.88
256,imei:864895033864933,tracker,220322201533,,F,181533.00,A,4035.62737,N,02257.31270,E,12.936,46.17
257,imei:864895033864933,tracker,220322201545,,F,181545.00,A,4035.65376,N,02257.34768,E,4.478,45.71
258,imei:864895033864933,tracker,220322201600,,F,181600.00,A,4035.65681,N,02257.35071,E,0.120,0
259,imei:864895033864933,tracker,220322201615,,F,181615.00,A,4035.66477,N,02257.36205,E,10.383,47.33
260,imei:864895033864933,tracker,220322201630,,F,181630.00,A,4035.70735,N,02257.42210,E,17.876,49.01
261,imei:864895033864933,tracker,220322201645,,F,181645.00,A,4035.76438,N,02257.50070,E,19.760,48.79
262,imei:864895033864933,tracker,220322201700,,F,181700.00,A,4035.80465,N,02257.55680,E,16.245,49.59
263,imei:864895033864933,tracker,220322201715,,F,181715.00,A,4035.85393,N,02257.61107,E,13.419,15.30
264,imei:864895033864933,tracker,220322201719,,F,181719.00,A,4035.86972,N,02257.61500,E,14.400,359.24
265,imei:864895033864933,tracker,220322201730,,F,181730.00,A,4035.89647,N,02257.60889,E,0.209,0
266,imei:864895033864933,tracker,220322201745,,F,181745.00,A,4035.89771,N,02257.60988,E,0.089,0
267,imei:864895033864933,tracker,220322201800,,F,181800.00,A,4035.89850,N,02257.61143,E,0.072,0
268,imei:864895033864933,tracker,220322201815,,F,181815.00,A,4035.90590,N,02257.61139,E,8.096,348.18
269,imei:864895033864933,tracker,220322201830,,F,181830.00,A,4035.96187,N,02257.59453,E,13.578,345.80
270,imei:864895033864933,tracker,220322201841,,F,181841.00,A,4036.00306,N,02257.58384,E,8.804,7.27
